vgnri_wsl@DESKTOP-S9KVS60:/mnt/c/Users/vgnri/workspace/Univ/realtime-data$ java Work2.Client
Connected
株Q,430.77,485.59,287.16,364.28,12:00:00.00,16:06:25.44
株B,379.56,394.61,213.21,345.80,12:00:00.50,16:06:25.49
株M,335.01,427.05,307.39,339.21,12:00:01.00,16:06:25.49
株P,333.43,391.25,207.15,349.00,12:00:01.50,16:06:25.49
株V,316.70,393.01,168.37,236.09,12:00:02.00,16:06:25.50
株P,349.00,372.08,105.36,109.86,12:00:02.50,16:06:25.55
株A,366.21,428.74,82.63,351.93,12:00:03.00,16:06:25.60
株O,371.07,437.05,347.55,380.73,12:00:03.50,16:06:25.64
株B,345.80,388.67,236.36,381.93,12:00:04.00,16:06:25.69
株L,346.31,394.69,165.25,318.30,12:00:04.50,16:06:25.74
株D,370.20,396.06,293.29,304.63,12:00:05.00,16:06:25.79
株X,440.78,480.60,67.24,432.78,12:00:05.50,16:06:25.84
株H,449.68,506.01,203.09,247.68,12:00:06.00,16:06:25.89
株H,247.68,279.30,132.76,232.27,12:00:06.50,16:06:25.93
株S,310.75,387.56,147.90,352.97,12:00:07.00,16:06:25.98
株P,109.86,186.74,58.83,115.06,12:00:07.50,16:06:26.03
株T,367.32,422.91,186.52,215.28,12:00:08.00,16:06:26.08
株Z,321.87,416.12,78.85,179.63,12:00:08.50,16:06:26.13
株E,371.21,403.27,365.41,390.54,12:00:09.00,16:06:26.18
株D,304.63,403.18,199.34,361.93,12:00:09.50,16:06:26.22
株G,403.52,457.91,71.91,114.18,12:00:10.00,16:06:26.27
株H,232.27,278.10,91.89,118.28,12:00:10.50,16:06:26.32
株F,434.75,445.10,309.95,374.80,12:00:11.00,16:06:26.37
株Z,179.63,185.71,73.62,100.62,12:00:11.50,16:06:26.42
株Q,364.28,440.56,62.62,211.77,12:00:12.00,16:06:26.47
株P,115.06,116.27,94.77,115.71,12:00:12.50,16:06:26.51
株U,345.61,380.47,278.82,336.75,12:00:13.00,16:06:26.56
株Z,100.62,171.97,54.33,98.06,12:00:13.50,16:06:26.61
株Q,211.77,248.70,191.96,215.76,12:00:14.00,16:06:26.66
株Q,215.76,273.14,202.25,248.64,12:00:14.50,16:06:26.71
株F,374.80,382.65,80.31,331.17,12:00:15.00,16:06:26.76
株G,114.18,126.57,90.56,102.17,12:00:15.50,16:06:26.80
株Y,414.27,437.95,410.09,421.90,12:00:16.00,16:06:26.85
株D,361.93,442.14,69.53,343.40,12:00:16.50,16:06:26.90
株J,499.79,507.43,430.89,498.23,12:00:17.00,16:06:26.95
株T,215.28,218.99,164.43,212.06,12:00:17.50,16:06:27.00
株W,421.52,443.81,128.33,166.56,12:00:18.00,16:06:27.05
株F,331.17,382.01,156.15,206.67,12:00:18.50,16:06:27.09
株Q,248.64,306.36,182.09,237.44,12:00:19.00,16:06:27.14
株U,336.75,408.09,55.71,401.65,12:00:19.50,16:06:27.19
株Y,421.90,463.01,123.69,431.46,12:00:20.00,16:06:27.24
株F,206.67,228.57,111.66,112.35,12:00:20.50,16:06:27.29
株M,339.21,357.50,118.30,242.98,12:00:21.00,16:06:27.34
株Z,98.06,120.80,54.48,69.32,12:00:21.50,16:06:27.38
株B,381.93,464.28,111.14,148.23,12:00:22.00,16:06:27.43
株S,352.97,386.46,146.21,248.65,12:00:22.50,16:06:27.48
株M,242.98,292.94,63.21,252.05,12:00:23.00,16:06:27.53
株X,432.78,494.08,415.51,465.92,12:00:23.50,16:06:27.58
株X,465.92,476.62,306.86,433.69,12:00:24.00,16:06:27.63
株G,102.17,141.07,59.52,102.90,12:00:24.50,16:06:27.67
株X,433.69,533.40,384.90,387.56,12:00:25.00,16:06:27.72
株S,248.65,284.44,158.76,222.09,12:00:25.50,16:06:27.77
株U,401.65,470.86,109.04,249.74,12:00:26.00,16:06:27.82
株O,380.73,470.86,130.42,291.55,12:00:26.50,16:06:27.87
株C,310.75,369.91,67.51,144.56,12:00:27.00,16:06:27.92
株Z,69.32,143.79,50.85,95.11,12:00:27.50,16:06:27.96
株L,318.30,410.75,211.79,303.33,12:00:28.00,16:06:28.01
株S,222.09,255.20,70.37,175.33,12:00:28.50,16:06:28.06
株Y,431.46,476.58,393.91,431.94,12:00:29.00,16:06:28.11
株S,175.33,229.28,134.78,201.00,12:00:29.50,16:06:28.16
株S,201.00,267.87,55.60,193.73,12:00:30.00,16:06:28.21
株M,252.05,314.85,86.02,205.60,12:00:30.50,16:06:28.25
株O,291.55,343.87,220.17,335.66,12:00:31.00,16:06:28.30
株V,236.09,289.02,153.67,192.49,12:00:31.50,16:06:28.35
株W,166.56,255.03,55.85,221.53,12:00:32.00,16:06:28.40
株M,205.60,293.54,155.62,199.24,12:00:32.50,16:06:28.45
株V,192.49,221.02,156.93,203.31,12:00:33.00,16:06:28.50
株D,343.40,383.97,50.10,287.51,12:00:33.50,16:06:28.54
株Y,431.94,499.75,118.17,122.45,12:00:34.00,16:06:28.59
株C,144.56,200.19,63.40,96.67,12:00:34.50,16:06:28.64
株G,102.90,124.71,63.13,80.87,12:00:35.00,16:06:28.69
株M,199.24,248.95,174.95,221.43,12:00:35.50,16:06:28.74
株W,221.53,253.63,97.35,226.34,12:00:36.00,16:06:28.79
株V,203.31,288.97,123.65,225.47,12:00:36.50,16:06:28.83
株Q,237.44,287.59,228.15,284.05,12:00:37.00,16:06:28.88
株D,287.51,372.32,103.96,262.71,12:00:37.50,16:06:28.93
株C,96.67,171.42,61.54,68.71,12:00:38.00,16:06:28.98
株V,225.47,290.06,115.40,225.18,12:00:38.50,16:06:29.03
株Z,95.11,138.38,89.90,118.10,12:00:39.00,16:06:29.08
株E,390.54,405.27,208.77,244.96,12:00:39.50,16:06:29.13
株R,319.82,321.90,225.63,296.70,12:00:40.00,16:06:29.17
株H,118.28,167.93,75.88,156.92,12:00:40.50,16:06:29.22
株I,315.46,322.24,236.96,255.46,12:00:41.00,16:06:29.27
株G,80.87,81.04,58.97,60.29,12:00:41.50,16:06:29.32
株I,255.46,282.75,188.55,204.06,12:00:42.00,16:06:29.37
株X,387.56,419.86,153.59,169.45,12:00:42.50,16:06:29.42
株W,226.34,284.85,78.71,234.77,12:00:43.00,16:06:29.46
株M,221.43,227.39,80.32,138.25,12:00:43.50,16:06:29.51
株E,244.96,306.69,241.05,281.08,12:00:44.00,16:06:29.56
株Z,118.10,129.79,71.87,88.47,12:00:44.50,16:06:29.61
株Y,122.45,209.67,64.95,152.57,12:00:45.00,16:06:29.66
株L,303.33,351.39,84.96,150.34,12:00:45.50,16:06:29.71
株O,335.66,389.14,313.39,385.39,12:00:46.00,16:06:29.75
株X,169.45,197.23,85.99,154.81,12:00:46.50,16:06:29.80
株B,148.23,231.67,68.63,155.11,12:00:47.00,16:06:29.85
株R,296.70,322.06,177.23,224.69,12:00:47.50,16:06:29.90
株J,498.23,521.30,334.64,498.52,12:00:48.00,16:06:29.95
株A,351.93,356.18,334.90,339.44,12:00:48.50,16:06:30.00
株F,112.35,205.05,94.38,130.06,12:00:49.00,16:06:30.04
株V,225.18,311.44,97.04,245.16,12:00:49.50,16:06:30.09
株I,204.06,250.65,125.85,142.67,12:00:50.00,16:06:30.14
株G,60.29,111.54,51.14,90.58,12:00:50.50,16:06:30.19
株C,68.71,109.66,60.73,96.76,12:00:51.00,16:06:30.24
株P,115.71,195.66,66.85,171.58,12:00:51.50,16:06:30.28
株C,96.76,132.76,70.43,88.33,12:00:52.00,16:06:30.33
株M,138.25,216.02,131.60,210.06,12:00:52.50,16:06:30.38
株K,316.62,398.89,144.78,200.48,12:00:53.00,16:06:30.43
株K,200.48,243.00,53.20,167.60,12:00:53.50,16:06:30.48
株J,498.52,565.24,356.21,467.64,12:00:54.00,16:06:30.53
株F,130.06,194.00,58.91,138.33,12:00:54.50,16:06:30.58
------------------------------
open_Max: 499.79, open_min: 60.29,
high_Max: 565.24, high_min: 81.04,
low_Max: 430.89, low_min: 50.10,
close_Max: 498.52, close_min: 60.29
------------------------------
110 records in the buffer.
株C,88.33,107.18,54.53,103.11,12:00:55.00,16:06:30.62
株N,374.53,442.37,232.74,402.68,12:00:55.50,16:06:30.67
株E,281.08,283.56,116.28,123.78,12:00:56.00,16:06:30.72
株C,103.11,146.06,54.48,103.24,12:00:56.50,16:06:30.77
株E,123.78,167.01,103.27,135.21,12:00:57.00,16:06:30.82
株G,90.58,103.68,74.88,85.03,12:00:57.50,16:06:30.87
株X,154.81,222.27,59.79,116.16,12:00:58.00,16:06:30.91
株A,339.44,382.28,131.01,379.84,12:00:58.50,16:06:30.96
株T,212.06,264.84,93.54,126.91,12:00:59.00,16:06:31.01
株I,142.67,231.94,133.66,137.62,12:00:59.50,16:06:31.06
株I,137.62,153.28,98.04,110.70,12:01:00.00,16:06:31.11
株V,245.16,283.18,95.96,121.65,12:01:00.50,16:06:31.15
株C,103.24,189.75,58.76,150.14,12:01:01.00,16:06:31.20
株Q,284.05,370.28,267.11,290.52,12:01:01.50,16:06:31.25
株A,379.84,427.41,341.67,401.29,12:01:02.00,16:06:31.30
株E,135.21,195.72,128.04,187.77,12:01:02.50,16:06:31.35
株V,121.65,155.73,71.78,97.88,12:01:03.00,16:06:31.40
株Y,152.57,235.22,122.74,219.11,12:01:03.50,16:06:31.45
株A,401.29,425.36,112.82,252.30,12:01:04.00,16:06:31.49
株E,187.77,208.82,157.98,173.95,12:01:04.50,16:06:31.54
株Z,88.47,155.59,83.64,147.08,12:01:05.00,16:06:31.59
株X,116.16,206.89,53.42,119.47,12:01:05.50,16:06:31.64
株B,155.11,182.72,132.12,152.27,12:01:06.00,16:06:31.69
株D,262.71,352.56,75.21,159.83,12:01:06.50,16:06:32.87
株R,224.69,267.45,99.31,103.75,12:01:07.00,16:06:32.92
株E,173.95,259.54,148.58,190.32,12:01:07.50,16:06:32.97
株V,97.88,118.60,79.32,108.27,12:01:08.00,16:06:33.01
株Z,147.08,234.30,57.64,195.07,12:01:08.50,16:06:33.06
株W,234.77,264.27,179.38,191.25,12:01:09.00,16:06:33.11
株Y,219.11,288.62,145.55,193.44,12:01:09.50,16:06:34.75
株R,103.75,155.40,94.82,95.24,12:01:10.00,16:06:34.80
株E,190.32,224.22,51.76,74.40,12:01:10.50,16:06:34.85
株K,167.60,172.95,136.46,161.59,12:01:11.00,16:06:34.90
株J,467.64,488.55,265.75,455.46,12:01:11.50,16:06:34.95
株R,95.24,152.60,67.65,130.07,12:01:12.00,16:06:34.99
株P,171.58,182.71,112.45,135.34,12:01:12.50,16:06:35.04
株X,119.47,197.51,99.85,128.31,12:01:13.00,16:06:35.09
株N,402.68,480.76,253.65,476.36,12:01:13.50,16:06:35.14
株W,191.25,205.09,180.08,182.29,12:01:14.00,16:06:35.19
株O,385.39,465.98,292.54,315.02,12:01:14.50,16:06:35.24
株V,108.27,186.12,56.51,67.13,12:01:15.00,16:06:35.28
株Z,195.07,202.79,149.29,165.27,12:01:15.50,16:06:35.33
株Y,193.44,276.98,127.99,138.73,12:01:16.00,16:06:35.38
株U,249.74,263.75,125.37,128.94,12:01:16.50,16:06:35.43
株R,130.07,202.41,93.86,187.11,12:01:17.00,16:06:35.48
株M,210.06,218.21,132.79,203.56,12:01:17.50,16:06:35.53
株H,156.92,167.11,50.96,138.72,12:01:18.00,16:06:35.57
株X,128.31,210.88,58.00,100.47,12:01:18.50,16:06:35.62
株A,252.30,305.94,246.90,277.70,12:01:19.00,16:06:35.67
------------------------------
open_Max: 467.64, open_min: 88.33,
high_Max: 488.55, high_min: 103.68,
low_Max: 341.67, low_min: 50.96,
close_Max: 476.36, close_min: 67.13
------------------------------
49 records in the buffer.
株S,193.73,291.15,82.85,160.53,12:01:19.50,16:06:35.72
株B,152.27,163.10,124.21,125.71,12:01:20.00,16:06:35.77
株P,135.34,191.45,88.70,156.12,12:01:20.50,16:06:35.82
株V,67.13,114.88,57.33,73.89,12:01:21.00,16:06:35.86
株I,110.70,146.78,90.62,133.27,12:01:21.50,16:06:35.91
株Y,138.73,153.86,63.99,104.53,12:01:22.00,16:06:35.96
株V,73.89,135.89,54.86,81.26,12:01:22.50,16:06:36.01
株V,81.26,177.62,79.30,98.95,12:01:23.00,16:06:36.06
株I,133.27,168.03,100.86,134.06,12:01:23.50,16:06:36.11
株A,277.70,279.65,70.96,172.74,12:01:24.00,16:06:36.15
株X,100.47,154.37,68.78,102.38,12:01:24.50,16:06:36.20
株T,126.91,187.63,52.27,108.41,12:01:25.00,16:06:36.25
株D,159.83,256.32,100.83,151.61,12:01:25.50,16:06:36.30
株Y,104.53,187.75,65.13,185.12,12:01:26.00,16:06:36.35
株U,128.94,169.19,90.08,138.34,12:01:26.50,16:06:36.39
株X,102.38,200.25,69.47,171.36,12:01:27.00,16:06:36.44
株P,156.12,199.97,154.80,164.91,12:01:27.50,16:06:36.49
株O,315.02,400.00,297.59,399.38,12:01:28.00,16:06:36.54
株P,164.91,187.32,131.54,173.23,12:01:28.50,16:06:36.59
株R,187.11,246.31,53.90,90.35,12:01:29.00,16:06:36.64
株L,150.34,231.12,101.16,134.36,12:01:29.50,16:06:36.68
株S,160.53,236.33,120.27,211.40,12:01:30.00,16:06:36.73
株F,138.33,231.11,129.48,141.30,12:01:30.50,16:06:36.78
株Y,185.12,246.22,163.51,183.18,12:01:31.00,16:06:36.83
株O,399.38,438.62,93.18,400.36,12:01:31.50,16:06:36.88
株I,134.06,226.48,55.08,99.69,12:01:32.00,16:06:36.93
株O,400.36,442.85,344.21,419.02,12:01:32.50,16:06:36.97
株Y,183.18,261.26,106.44,205.97,12:01:33.00,16:06:37.02
株U,138.34,198.96,84.76,107.07,12:01:33.50,16:06:37.07
株E,74.40,87.04,52.80,69.72,12:01:34.00,16:06:37.12
株Z,165.27,194.19,95.28,173.74,12:01:34.50,16:06:37.17
株W,182.29,190.28,88.97,186.72,12:01:35.00,16:06:37.22
株U,107.07,168.94,53.10,106.59,12:01:35.50,16:06:37.26
株H,138.72,164.20,132.33,157.03,12:01:36.00,16:06:37.31
株M,203.56,256.64,131.97,185.09,12:01:36.50,16:06:37.36
株P,173.23,232.84,124.88,136.50,12:01:37.00,16:06:37.41
株C,150.14,186.65,70.54,154.16,12:01:37.50,16:06:37.46
株N,476.36,524.98,142.62,404.97,12:01:38.00,16:06:37.51
株Y,205.97,302.56,144.19,162.56,12:01:38.50,16:06:37.56
株Q,290.52,302.93,55.20,80.98,12:01:39.00,16:06:37.60
株I,99.69,139.91,74.83,119.15,12:01:39.50,16:06:37.65
株P,136.50,179.62,95.37,156.05,12:01:40.00,16:06:37.70
株K,161.59,230.13,84.78,143.44,12:01:40.50,16:06:37.75
株B,125.71,224.47,63.92,174.32,12:01:41.00,16:06:37.80
株Q,80.98,92.35,75.82,85.40,12:01:41.50,16:06:37.85
株C,154.16,229.53,135.82,223.20,12:01:42.00,16:06:37.89
株Y,162.56,174.68,160.37,173.25,12:01:42.50,16:06:37.94
株H,157.03,215.12,85.89,105.15,12:01:43.00,16:06:37.99
株J,455.46,531.69,60.73,264.00,12:01:43.50,16:06:38.04
株K,143.44,219.75,50.06,71.57,12:01:44.00,16:06:38.09
株W,186.72,207.62,124.11,202.12,12:01:44.50,16:06:38.14
株H,105.15,118.82,79.67,117.94,12:01:45.00,16:06:38.18
株X,171.36,260.34,50.25,92.20,12:01:45.50,16:06:38.23
株F,141.30,189.25,113.95,119.74,12:01:46.00,16:06:38.28
株S,211.40,226.45,175.15,193.78,12:01:46.50,16:06:38.33
株T,108.41,129.84,51.30,113.18,12:01:47.00,16:06:38.38
株R,90.35,146.77,88.81,110.21,12:01:47.50,16:06:38.43
株E,69.72,136.83,51.01,75.35,12:01:48.00,16:06:38.47
株B,174.32,201.46,86.43,91.01,12:01:48.50,16:06:38.52
