stock,open,high,low,close,timestamp
株Q,430.77,485.59,287.16,364.28,12:00:00.00
株B,379.56,394.61,213.21,345.80,12:00:00.50
株M,335.01,427.05,307.39,339.21,12:00:01.00
株P,333.43,391.25,207.15,349.00,12:00:01.50
株V,316.70,393.01,168.37,236.09,12:00:02.00
株P,349.00,372.08,105.36,109.86,12:00:02.50
株A,366.21,428.74,82.63,351.93,12:00:03.00
株O,371.07,437.05,347.55,380.73,12:00:03.50
株B,345.80,388.67,236.36,381.93,12:00:04.00
株L,346.31,394.69,165.25,318.30,12:00:04.50
株D,370.20,396.06,293.29,304.63,12:00:05.00
株X,440.78,480.60,67.24,432.78,12:00:05.50
株H,449.68,506.01,203.09,247.68,12:00:06.00
株H,247.68,279.30,132.76,232.27,12:00:06.50
株S,310.75,387.56,147.90,352.97,12:00:07.00
株P,109.86,186.74,58.83,115.06,12:00:07.50
株T,367.32,422.91,186.52,215.28,12:00:08.00
株Z,321.87,416.12,78.85,179.63,12:00:08.50
株E,371.21,403.27,365.41,390.54,12:00:09.00
株D,304.63,403.18,199.34,361.93,12:00:09.50
株G,403.52,457.91,71.91,114.18,12:00:10.00
株H,232.27,278.10,91.89,118.28,12:00:10.50
株F,434.75,445.10,309.95,374.80,12:00:11.00
株Z,179.63,185.71,73.62,100.62,12:00:11.50
株Q,364.28,440.56,62.62,211.77,12:00:12.00
株P,115.06,116.27,94.77,115.71,12:00:12.50
株U,345.61,380.47,278.82,336.75,12:00:13.00
株Z,100.62,171.97,54.33,98.06,12:00:13.50
株Q,211.77,248.70,191.96,215.76,12:00:14.00
株Q,215.76,273.14,202.25,248.64,12:00:14.50
株F,374.80,382.65,80.31,331.17,12:00:15.00
株G,114.18,126.57,90.56,102.17,12:00:15.50
株Y,414.27,437.95,410.09,421.90,12:00:16.00
株D,361.93,442.14,69.53,343.40,12:00:16.50
株J,499.79,507.43,430.89,498.23,12:00:17.00
株T,215.28,218.99,164.43,212.06,12:00:17.50
株W,421.52,443.81,128.33,166.56,12:00:18.00
株F,331.17,382.01,156.15,206.67,12:00:18.50
株Q,248.64,306.36,182.09,237.44,12:00:19.00
株U,336.75,408.09,55.71,401.65,12:00:19.50
株Y,421.90,463.01,123.69,431.46,12:00:20.00
株F,206.67,228.57,111.66,112.35,12:00:20.50
株M,339.21,357.50,118.30,242.98,12:00:21.00
株Z,98.06,120.80,54.48,69.32,12:00:21.50
株B,381.93,464.28,111.14,148.23,12:00:22.00
株S,352.97,386.46,146.21,248.65,12:00:22.50
株M,242.98,292.94,63.21,252.05,12:00:23.00
株X,432.78,494.08,415.51,465.92,12:00:23.50
株X,465.92,476.62,306.86,433.69,12:00:24.00
株G,102.17,141.07,59.52,102.90,12:00:24.50
株X,433.69,533.40,384.90,387.56,12:00:25.00
株S,248.65,284.44,158.76,222.09,12:00:25.50
株U,401.65,470.86,109.04,249.74,12:00:26.00
株O,380.73,470.86,130.42,291.55,12:00:26.50
株C,310.75,369.91,67.51,144.56,12:00:27.00
株Z,69.32,143.79,50.85,95.11,12:00:27.50
株L,318.30,410.75,211.79,303.33,12:00:28.00
株S,222.09,255.20,70.37,175.33,12:00:28.50
株Y,431.46,476.58,393.91,431.94,12:00:29.00
株S,175.33,229.28,134.78,201.00,12:00:29.50
株S,201.00,267.87,55.60,193.73,12:00:30.00
株M,252.05,314.85,86.02,205.60,12:00:30.50
株O,291.55,343.87,220.17,335.66,12:00:31.00
株V,236.09,289.02,153.67,192.49,12:00:31.50
株W,166.56,255.03,55.85,221.53,12:00:32.00
株M,205.60,293.54,155.62,199.24,12:00:32.50
株V,192.49,221.02,156.93,203.31,12:00:33.00
株D,343.40,383.97,50.10,287.51,12:00:33.50
株Y,431.94,499.75,118.17,122.45,12:00:34.00
株C,144.56,200.19,63.40,96.67,12:00:34.50
株G,102.90,124.71,63.13,80.87,12:00:35.00
株M,199.24,248.95,174.95,221.43,12:00:35.50
株W,221.53,253.63,97.35,226.34,12:00:36.00
株V,203.31,288.97,123.65,225.47,12:00:36.50
株Q,237.44,287.59,228.15,284.05,12:00:37.00
株D,287.51,372.32,103.96,262.71,12:00:37.50
株C,96.67,171.42,61.54,68.71,12:00:38.00
株V,225.47,290.06,115.40,225.18,12:00:38.50
株Z,95.11,138.38,89.90,118.10,12:00:39.00
株E,390.54,405.27,208.77,244.96,12:00:39.50
株R,319.82,321.90,225.63,296.70,12:00:40.00
株H,118.28,167.93,75.88,156.92,12:00:40.50
株I,315.46,322.24,236.96,255.46,12:00:41.00
株G,80.87,81.04,58.97,60.29,12:00:41.50
株I,255.46,282.75,188.55,204.06,12:00:42.00
株X,387.56,419.86,153.59,169.45,12:00:42.50
株W,226.34,284.85,78.71,234.77,12:00:43.00
株M,221.43,227.39,80.32,138.25,12:00:43.50
株E,244.96,306.69,241.05,281.08,12:00:44.00
株Z,118.10,129.79,71.87,88.47,12:00:44.50
株Y,122.45,209.67,64.95,152.57,12:00:45.00
株L,303.33,351.39,84.96,150.34,12:00:45.50
株O,335.66,389.14,313.39,385.39,12:00:46.00
株X,169.45,197.23,85.99,154.81,12:00:46.50
株B,148.23,231.67,68.63,155.11,12:00:47.00
株R,296.70,322.06,177.23,224.69,12:00:47.50
株J,498.23,521.30,334.64,498.52,12:00:48.00
株A,351.93,356.18,334.90,339.44,12:00:48.50
株F,112.35,205.05,94.38,130.06,12:00:49.00
株V,225.18,311.44,97.04,245.16,12:00:49.50
株I,204.06,250.65,125.85,142.67,12:00:50.00
株G,60.29,111.54,51.14,90.58,12:00:50.50
株C,68.71,109.66,60.73,96.76,12:00:51.00
株P,115.71,195.66,66.85,171.58,12:00:51.50
株C,96.76,132.76,70.43,88.33,12:00:52.00
株M,138.25,216.02,131.60,210.06,12:00:52.50
株K,316.62,398.89,144.78,200.48,12:00:53.00
株K,200.48,243.00,53.20,167.60,12:00:53.50
株J,498.52,565.24,356.21,467.64,12:00:54.00
株F,130.06,194.00,58.91,138.33,12:00:54.50
株C,88.33,107.18,54.53,103.11,12:00:55.00
株N,374.53,442.37,232.74,402.68,12:00:55.50
株E,281.08,283.56,116.28,123.78,12:00:56.00
株C,103.11,146.06,54.48,103.24,12:00:56.50
株E,123.78,167.01,103.27,135.21,12:00:57.00
