stock,open,high,low,close,timestamp
株N,333.43,382.77,97.45,167.27,12:00:00.00
株G,374.05,382.46,232.10,256.68,12:00:00.50
株W,480.68,566.71,248.79,560.35,12:00:01.00
株P,444.58,511.10,257.95,325.46,12:00:01.50
株Q,430.10,463.90,212.39,446.95,12:00:02.00
株M,448.83,518.62,181.82,413.54,12:00:02.50
株C,392.79,400.32,189.17,374.29,12:00:03.00
株T,310.37,377.69,81.12,367.55,12:00:03.50
株S,439.90,446.36,68.04,124.37,12:00:04.00
株S,124.37,193.27,55.65,153.96,12:00:04.50
株C,374.29,403.92,135.02,150.81,12:00:05.00
株U,424.78,515.48,109.22,305.10,12:00:05.50
株O,412.12,412.45,156.80,206.88,12:00:06.00
株V,324.25,359.40,183.88,234.71,12:00:06.50
株W,560.35,566.58,511.44,553.46,12:00:07.00
株B,418.22,442.53,157.49,185.97,12:00:07.50
株C,150.81,237.70,97.01,140.13,12:00:08.00
株H,419.94,450.48,64.06,344.94,12:00:08.50
株A,357.53,382.65,206.04,293.41,12:00:09.00
株N,167.27,241.34,71.49,230.09,12:00:09.50
株N,230.09,254.15,220.74,247.08,12:00:10.00
株B,185.97,267.19,141.64,232.90,12:00:10.50
株S,153.96,230.40,59.10,87.61,12:00:11.00
株C,140.13,162.69,59.63,69.81,12:00:11.50
株K,341.84,399.52,80.22,164.95,12:00:12.00
株V,234.71,309.94,87.18,248.13,12:00:12.50
株I,384.22,483.86,249.74,382.60,12:00:13.00
株Y,484.59,563.00,477.98,508.09,12:00:13.50
株Q,446.95,473.36,232.65,357.18,12:00:14.00
株Z,446.60,522.75,385.35,515.22,12:00:14.50
株R,492.18,551.19,87.39,409.13,12:00:15.00
株D,375.13,441.91,164.79,363.95,12:00:15.50
株I,382.60,402.97,285.39,334.41,12:00:16.00
株U,305.10,307.91,177.36,270.70,12:00:16.50
株V,248.13,345.78,129.87,220.61,12:00:17.00
株P,325.46,336.23,260.27,302.72,12:00:17.50
株O,206.88,249.91,50.76,143.21,12:00:18.00
株M,413.54,438.45,105.27,256.10,12:00:18.50
株R,409.13,429.16,405.34,405.87,12:00:19.00
株G,256.68,310.59,74.26,227.97,12:00:19.50
株Z,515.22,542.01,93.45,281.55,12:00:20.00
株H,344.94,369.81,51.49,342.62,12:00:20.50
株Y,508.09,561.08,138.26,157.32,12:00:21.00
株K,164.95,238.56,100.03,198.65,12:00:21.50
株F,321.43,373.47,246.15,313.91,12:00:22.00
株P,302.72,378.20,244.16,264.28,12:00:22.50
株Z,281.55,316.84,204.06,206.02,12:00:23.00
株N,247.08,282.78,159.87,271.83,12:00:23.50
株L,328.22,347.91,295.13,341.06,12:00:24.00
株C,69.81,153.47,62.72,124.62,12:00:24.50
株D,363.95,449.70,148.06,304.38,12:00:25.00
株X,303.00,342.89,120.89,308.10,12:00:25.50
株K,198.65,225.93,100.10,130.81,12:00:26.00
株U,270.70,320.97,156.04,223.56,12:00:26.50
株W,553.46,653.20,200.22,239.94,12:00:27.00
株F,313.91,320.24,162.01,238.71,12:00:27.50
株S,87.61,186.15,87.18,109.91,12:00:28.00
株E,300.74,396.61,211.07,347.04,12:00:28.50
株E,347.04,371.37,232.43,299.91,12:00:29.00
株N,271.83,324.97,125.11,248.06,12:00:29.50
株V,220.61,237.13,138.80,216.49,12:00:30.00
株I,334.41,336.92,55.89,169.13,12:00:30.50
株Z,206.02,267.95,159.40,246.19,12:00:31.00
株L,341.06,356.04,147.47,192.47,12:00:31.50
株V,216.49,226.69,195.18,226.46,12:00:32.00
株E,299.91,321.45,239.79,288.06,12:00:32.50
株A,293.41,345.78,204.54,331.42,12:00:33.00
株N,248.06,300.65,160.72,208.09,12:00:33.50
株I,169.13,213.77,51.28,104.28,12:00:34.00
株J,424.07,521.55,106.93,390.00,12:00:34.50
株J,390.00,473.58,174.70,394.42,12:00:35.00
株B,232.90,236.34,195.18,234.23,12:00:35.50
株D,304.38,369.04,181.60,202.74,12:00:36.00
株P,264.28,322.13,98.28,164.05,12:00:36.50
株M,256.10,336.82,158.14,336.34,12:00:37.00
株W,239.94,263.20,182.15,201.58,12:00:37.50
株N,208.09,250.03,125.43,190.35,12:00:38.00
株Q,357.18,376.18,204.82,206.42,12:00:38.50
株D,202.74,226.67,91.56,173.10,12:00:39.00
株Q,206.42,275.14,201.18,269.29,12:00:39.50
株Y,157.32,233.10,69.46,179.71,12:00:40.00
株P,164.05,222.06,102.71,143.89,12:00:40.50
株S,109.91,154.35,93.48,126.93,12:00:41.00
株I,104.28,175.32,101.90,173.66,12:00:41.50
株F,238.71,335.96,75.78,168.09,12:00:42.00
株Y,179.71,180.34,70.25,117.72,12:00:42.50
株I,173.66,222.97,103.40,175.24,12:00:43.00
株W,201.58,252.23,80.59,149.86,12:00:43.50
株O,143.21,170.19,132.29,163.12,12:00:44.00
株R,405.87,480.97,242.77,461.85,12:00:44.50
株I,175.24,199.94,100.24,133.44,12:00:45.00
株D,173.10,195.93,99.03,138.61,12:00:45.50
株S,126.93,163.21,59.25,76.54,12:00:46.00
株O,163.12,245.27,160.25,212.40,12:00:46.50
株U,223.56,291.12,85.08,89.30,12:00:47.00
株E,288.06,332.49,122.32,247.12,12:00:47.50
株B,234.23,296.23,168.65,283.03,12:00:48.00
株E,247.12,278.01,127.91,175.66,12:00:48.50
株J,394.42,490.30,261.28,460.97,12:00:49.00
株Q,269.29,320.85,67.12,220.71,12:00:49.50
