株ID,株名,配当金（一株あたり）,配当金支払い日,資本金,従業員数,タイプ（大・中・小）,書類（日・米・欧）
1,日本株1,52,7月4日,28597019701,509,小,日
2,日本株2,197,10月23日,6101423256,2394,中,日
3,日本株3,178,3月23日,57995009917,2601,中,日
4,日本株4,263,10月27日,92117412858,2176,中,日
5,日本株5,90,1月19日,44307629544,4624,大,日
6,日本株6,207,11月28日,37822990143,3824,大,日
7,日本株7,271,11月21日,38615623510,3002,大,日
8,日本株8,180,4月2日,60991063273,4131,大,日
9,日本株9,12,4月25日,47407381701,3419,大,日
10,日本株10,207,5月4日,58507880413,1098,中,日
11,日本株11,258,7月5日,38341166703,1234,中,日
12,日本株12,296,1月3日,948121398,1888,中,日
13,日本株13,59,1月9日,14402152093,439,小,日
14,日本株14,69,7月13日,84107898544,1192,中,日
15,日本株15,75,11月8日,10716566663,2511,中,日
16,日本株16,105,4月1日,15880602110,2830,中,日
17,日本株17,270,5月18日,3621714113,2303,中,日
18,日本株18,123,1月27日,46593890216,2424,中,日
19,日本株19,220,12月6日,12628445568,269,小,日
20,日本株20,148,1月10日,43266596042,3230,大,日
21,日本株21,187,4月11日,16547771241,4358,大,日
22,日本株22,19,12月17日,49407010858,3534,大,日
23,日本株23,213,5月12日,86666924520,3190,大,日
24,日本株24,45,4月4日,40699085627,235,小,日
25,日本株25,193,1月20日,83052997341,1000,中,日
26,日本株26,66,10月27日,56584974929,4391,大,日
27,日本株27,102,11月11日,63929720878,195,小,日
28,日本株28,16,8月27日,99736428090,4147,大,日
29,日本株29,53,8月8日,95692424444,3108,大,日
30,日本株30,75,6月8日,85690760931,1417,中,日
31,日本株31,65,12月18日,79640333701,1426,中,日
32,日本株32,160,4月5日,92476095537,2858,中,日
33,日本株33,89,12月1日,48925372685,4850,大,日
34,日本株34,210,8月18日,98616818059,3813,大,日
35,日本株35,115,10月5日,31521885311,2650,中,日
36,日本株36,181,2月28日,19759195640,2191,中,日
37,日本株37,278,8月2日,92994275078,4185,大,日
38,日本株38,141,11月7日,63125622064,2637,中,日
39,日本株39,14,3月5日,38699850873,4621,大,日
40,米国株40,198,1月4日,43787372337,4260,大,日
41,米国株41,248,6月14日,32792871575,3601,大,米
42,米国株42,286,2月15日,75478417653,2109,中,米
43,米国株43,23,4月3日,87991720338,3510,大,米
44,米国株44,81,4月26日,61791038770,541,小,米
45,米国株45,283,1月22日,72297919361,743,小,米
46,米国株46,31,9月18日,68607928058,2737,中,米
47,米国株47,71,6月5日,55938372929,1702,中,米
48,米国株48,64,5月10日,98041482254,3173,大,米
49,米国株49,122,5月11日,79363802630,1483,中,米
50,米国株50,18,6月2日,50280000823,709,小,米
51,米国株51,17,7月8日,73671796595,525,小,米
52,米国株52,44,9月30日,96047236359,2961,中,米
53,米国株53,81,8月10日,29238935125,4781,大,米
54,米国株54,226,7月23日,92075017924,1601,中,米
55,米国株55,25,9月12日,5283338151,2633,中,米
56,米国株56,216,10月29日,98573723995,1396,中,米
57,米国株57,118,11月21日,28284803608,3377,大,米
58,米国株58,166,8月28日,31876697225,2493,中,米
59,米国株59,197,10月28日,48429751882,3133,大,米
60,米国株60,102,12月13日,35796024389,3338,大,米
61,米国株61,231,2月26日,31097922759,2626,中,米
62,米国株62,160,3月7日,59149797328,484,小,米
63,米国株63,277,3月28日,58231829585,2461,中,米
64,米国株64,62,11月6日,62701659512,4477,大,米
65,米国株65,197,7月19日,75869058692,4582,大,米
66,米国株66,22,5月28日,71421759452,3782,大,米
67,米国株67,38,5月18日,71896841748,604,小,米
