株ID,株名,最小,最大
1,日本株1,300,400
2,日本株2,400,450
3,日本株3,450,500
4,日本株4,500,550
5,日本株5,550,600
6,日本株6,600,650
7,日本株7,650,700
8,日本株8,700,750
9,日本株9,750,800
10,日本株10,800,850
11,日本株11,850,900
12,日本株12,900,950
13,日本株13,950,1000
14,日本株14,1000,1050
15,日本株15,1050,1100
16,日本株16,1100,1150
17,日本株17,1150,1200
18,日本株18,1200,1250
19,日本株19,1250,1300
20,日本株20,1300,1350
21,日本株21,1350,1400
22,日本株22,1400,1450
23,日本株23,1450,1500
24,日本株24,1500,1550
25,日本株25,1550,1600
26,日本株26,1600,1650
27,日本株27,1650,1700
28,日本株28,1700,1750
29,日本株29,1750,1800
30,日本株30,1800,1850
31,日本株31,1850,1900
32,日本株32,1900,1950
33,日本株33,1950,2000
34,日本株34,2000,2050
35,日本株35,2050,2100
36,日本株36,2100,2150
37,日本株37,2150,2200
38,日本株38,2200,2250
39,日本株39,2250,2300
40,日本株40,2300,2350
41,日本株41,2350,2400
42,日本株42,2400,2450
43,日本株43,2450,2500
44,日本株44,2500,2550
45,日本株45,2550,2600
46,日本株46,2600,2650
47,日本株47,2650,2700
48,日本株48,2700,2750
49,日本株49,2750,2800
50,日本株50,2800,2850
51,日本株51,2850,2900
52,日本株52,2900,2950
53,日本株53,2950,3000
54,日本株54,3000,3050
55,日本株55,3050,3100
56,日本株56,3100,3150
57,日本株57,3150,3200
58,日本株58,3200,3250
59,日本株59,3250,3300
60,日本株60,3300,3350
61,日本株61,3350,3400
62,日本株62,3400,3450
63,日本株63,3450,3500
64,日本株64,3500,3550
65,日本株65,3550,3600
66,日本株66,3600,3650
67,日本株67,3650,3700
68,日本株68,3700,3750
69,日本株69,3750,3800
70,日本株70,3800,3850
71,日本株71,3850,3900
72,日本株72,3900,3950
73,日本株73,3950,4000
74,日本株74,4000,4050
75,日本株75,4050,4100
76,日本株76,4100,4150
77,日本株77,4150,4200
78,日本株78,4200,4250
79,日本株79,4250,4300
80,日本株80,4300,4350
81,日本株81,4350,4400
82,日本株82,4400,4450
83,日本株83,4450,4500
84,日本株84,4500,4550
85,日本株85,4550,4600
86,日本株86,4600,4650
87,日本株87,4650,4700
88,日本株88,4700,4750
89,日本株89,4750,4800
90,日本株90,4800,4850
91,日本株91,4850,4900
92,日本株92,4900,4950
93,日本株93,4950,5000
94,日本株94,5000,5050
95,日本株95,5050,5100
96,日本株96,5100,5150
97,日本株97,5150,5200
98,日本株98,5200,5250
99,日本株99,5250,5300
100,日本株100,5300,5350
101,日本株101,5350,5400
102,日本株102,5400,5450
103,日本株103,5450,5500
104,日本株104,5500,5550
105,日本株105,5550,5600
106,日本株106,5600,5650
107,日本株107,5650,5700
108,日本株108,5700,5750
109,日本株109,5750,5800
110,日本株110,5800,5850
111,日本株111,5850,5900
112,日本株112,5900,5950
113,日本株113,5950,6000
114,日本株114,6000,6050
115,日本株115,6050,6100
116,日本株116,6100,6150
117,日本株117,6150,6200
118,日本株118,6200,6250
119,日本株119,6250,6300
120,日本株120,6300,6350
121,日本株121,6350,6400
122,日本株122,6400,6450
123,日本株123,6450,6500
124,日本株124,6500,6550
125,日本株125,6550,6600
126,日本株126,6600,6650
127,日本株127,6650,6700
128,日本株128,6700,6750
129,日本株129,6750,6800
130,日本株130,6800,6850
131,日本株131,6850,6900
132,日本株132,6900,6950
133,日本株133,6950,7000
134,日本株134,7000,7050
135,日本株135,7050,7100
136,日本株136,7100,7150
137,日本株137,7150,7200
138,日本株138,7200,7250
139,日本株139,7250,7300
140,日本株140,7300,7350
141,日本株141,7350,7400
142,日本株142,7400,7450
143,日本株143,7450,7500
144,日本株144,7500,7550
145,日本株145,7550,7600
146,日本株146,7600,7650
147,日本株147,7650,7700
148,日本株148,7700,7750
