ID,市,地名,面積(㎡),周辺長（ｍ）,人口,世帯数
1,つくば,谷田部,53606.127,1130.494,0,0
2,つくば,谷田部字瑞穂,348031.967,2440.527,1291,530
3,つくば,羽成,595054.398,3260.252,170,50
4,つくば,飯田,624889.926,4925.197,364,105
5,つくば,中野,506021.205,2855.342,170,60
6,つくば,片田,307694.736,4647.833,26,13
7,つくば,上萱丸,261774.601,2382.891,226,99
8,つくば,花島新田,61165.619,1571.457,32,22
9,つくば,下萱丸,284355.385,2686.18,48,16
10,つくば,小白硲,752734.391,4328.064,972,394
11,つくば,西栗山,460460.378,5539.015,69,23
12,つくば,上横場,2342509.008,10327.924,2319,980
13,つくば,境田,709718.194,3553.185,182,67
14,つくば,境松,1009768.761,6379.946,166,51
15,つくば,根崎,377663.284,5101.568,43,12
16,つくば,古館,310420.017,3168.73,86,25
17,つくば,緑が丘,148784.944,2073.632,1165,459
18,つくば,東丸山,685903.18,5976.215,52,22
19,つくば,真瀬,3274606.356,9235.391,1860,643
20,つくば,鍋沼新田,1550754.227,6125.696,309,108
21,つくば,高須賀,2592318.065,8118.105,486,153
22,つくば,高良田,794886.498,5736.579,410,121
23,つくば,島名,3527342.114,15094.382,1185,408
24,つくば,中別府,1342877.659,4937.64,560,214
25,つくば,下別府,655604.542,3782.756,105,29
26,つくば,上河原崎下河原崎入会地,11314.556,553.994,5,2
27,つくば,上河原崎,1183885.641,9374.416,248,87
28,つくば,鬼ケ窪,1751600.214,6152.363,476,140
29,つくば,高田,532712.111,3718.684,77,25
30,つくば,面野井,1269714.403,5812.654,239,94
31,つくば,下河原崎,427831.823,3679.42,209,77
32,つくば,水堀,824632.681,4112.912,95,27
33,つくば,北郷,190695.76,1715.66,0,0
34,つくば,西平塚,554917.961,4681.981,138,52
35,つくば,東平塚,603688.108,4964.622,445,246
36,つくば,下平塚,667739.471,6654.364,306,111
37,つくば,葛城根崎,85431.509,1412.354,45,16
38,つくば,苅間,213204.771,2678.203,0,0
39,つくば,西大橋,312135.09,3122.939,186,63
40,つくば,西岡,296705.63,2374.672,173,64
41,つくば,小野崎,1507348.283,7484.764,1670,563
42,つくば,島,353297.362,2826.081,78,27
43,つくば,平,560810.952,3994.456,157,43
44,つくば,大白硲,486830.824,3687.043,48,15
45,つくば,柳橋,901058.397,5478.11,230,95
46,つくば,新井,346317.122,2757.9,34,7
47,つくば,山中,445172.282,3738.751,663,253
48,つくば,藤本,452940.079,2887.951,0,0
49,つくば,大わし,347879.821,3140.258,0,0
50,つくば,中内,400416.59,2634.842,162,58
51,つくば,館野,392186.757,3251.896,156,56
52,つくば,榎戸,838328.204,4510.028,519,268
53,つくば,北中妻,586614.627,3175.388,156,54
54,つくば,赤塚,1178113.638,5765.328,944,359
55,つくば,下原,1250442.749,5210.212,237,58
56,つくば,梶内,335388.85,2572.941,140,43
57,つくば,南中妻,887244.967,4015.163,385,138
58,つくば,下横場,477229.97,3155.108,299,119
59,つくば,稲岡,736017.421,3695.884,427,158
60,つくば,北中島,729940.532,3602.957,239,94
61,つくば,市之台,30443.709,817.503,0,0
62,つくば,今泉,304236.199,2305.059,220,90
63,つくば,新牧田,627982.671,4881.985,93,45
64,つくば,手代木,1371863.551,7118.434,507,177
65,つくば,西大沼,671363.372,3304.585,383,105
66,つくば,上原,332948.254,3515.161,412,134
67,つくば,松野木,306441.034,2614.419,735,309
68,つくば,観音台一丁目,453384.255,3870.95,2271,1316
69,つくば,観音台二丁目,847591.117,3651.058,45,45
70,つくば,観音台三丁目,880802.618,3788.339,0,0
71,つくば,春日一丁目,285969.327,2298.325,991,469
72,つくば,春日二丁目,412157.319,3407.526,3363,2180
73,つくば,春日三丁目,247744.722,2363.662,2619,2197
74,つくば,春日四丁目,320977.444,2798.271,3638,3362
75,つくば,松代一丁目,294064.527,3296.403,1742,914
76,つくば,松代二丁目,174025.108,1799.092,1082,577
77,つくば,松代三丁目,277788.87,2143.796,2364,969
78,つくば,松代四丁目,286750.827,2505.124,1443,662
79,つくば,松代五丁目,311344.127,2808.672,1172,433
80,つくば,西郷,45280.54,870.413,96,68
81,つくば,小野川,899908.022,4834.373,1485,710
82,つくば,東一丁目,691336.053,3776.483,0,0
83,つくば,東二丁目,371076.608,2493.005,2104,1036
84,つくば,稲荷前,448973.163,2780.14,2096,1130
85,つくば,二の宮一丁目,313121.286,2612.644,2354,1240
86,つくば,二の宮二丁目,373130.049,2923.013,1358,803
87,つくば,二の宮三丁目,196222.413,3063.057,1360,706
88,つくば,二の宮四丁目,206550.72,1990.161,2326,1029
